id,sentence,target
6891,just too silly and sophomoric to ensnare its target audience,-
6892,it 's the funniest american comedy since graffiti bridge,-
6893,"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan",-
6894,"leading a double life in an american film only comes to no good , but not here matters play out realistically if not always fairly",+
6895,"while the ensemble player who gained notice in guy ritchie 's lock , stock and two smoking barrels and snatch has the bod , he 's unlikely to become a household name on the basis of his first starring vehicle",-
6896,"so unassuming and pure of heart , you ca n't help but warmly extend your arms and yell ` safe ! '",+
6897,one of the most incoherent features in recent memory,-
6898,cuts right through the b s giving a big middle fingered shut up to those who talk up what is nothing more than two guys beating the hell outta one another,+
6899,watching this film nearly provoked me to take my own life and if the hours wins ` best picture ' i just might,-
6900,the film is so bad it does n't improve upon the experience of staring at a blank screen,-
6901,"although based on a real life person , john , in the movie , is a rather dull person to be stuck with for two hours",-
6902,"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one",+
6903,"this one is a few bits funnier than malle 's dud , if only because the cast is so engagingly messing around like slob city reductions of damon runyon crooks",-
6904,"pitiful , slapdash disaster a doa dud from frame one",-
6905,it 's hard to imagine another director ever making his wife look so bad in a major movie,-
6906,"asia authors herself as anna battista , an italian superstar and aspiring directress who just happens to be her own worst enemy",+
6907,audiences will find no mention of political prisoners or persecutions that might paint the castro regime in less than saintly tones,-
6908,"sillier , cuter , and shorter than the first ( as best i remember ) , but still a very good time at the cinema",+
6909,excruciatingly unfunny and pitifully unromantic,-
6910,an hilarious romantic comedy,+
6911,"like edward norton in american history x , ryan gosling ( murder by numbers ) delivers a magnetic performance",+
6912,the element of surprise might be the only thing femme fatale has going for it,-
6913,"ok arthouse the power of this script , and the performances that come with it , is that the whole damned thing did n't get our moral hackles up",+
6914,"it 's an ambitious film , and as with all ambitious films , it has some problems but on the whole , you 're gon na like this movie",+
6915,a painfully flat gross out comedy,-
6916,"an unflinching , complex portrait of a modern israel that is rarely seen on screen",+
6917,a painfully leaden film destined for pre dawn cable television slots,-
6918,"does n't get the job done , running off the limited chemistry created by ralph fiennes and jennifer lopez",-
6919,"a pleasant and engaging enough sit , but in trying to have the best of both worlds it ends up falling short as a whole",-
6920,"more than simply a portrait of early extreme sports , this peek into the 1970s skateboard revolution is a skateboard film as social anthropology",+
6921,under rehearsed and lifeless,-
6922,presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it,+
6923,morton deserves an oscar nomination,+
6924,davis has filled out his cast with appealing fresh faces,+
6925,"swimfan falls victim to sloppy plotting , an insultingly unbelievable final act and a villainess who is too crazy to be interesting",-
6926,turns so unforgivably trite in its last 10 minutes that anyone without a fortified sweet tooth will likely go into sugar shock,-
6927,an artsploitation movie with too much exploitation and too little art,-
6928,a sober and affecting chronicle of the leveling effect of loss,+
6929,one of those films that seems tailor made to air on pay cable to offer some modest amusements when one has nothing else to watch,-
6930,i cry for i spy or i would if this latest and laziest imaginable of all vintage tv spinoffs were capable of engendering an emotional response of any kind,-
6931,absorbing and disturbing perhaps more disturbing than originally intended but a little clarity would have gone a long way,+
6932,"the film is grossly contradictory in conveying its social message , if indeed there is one",-
6933,"a movie that 's held captive by mediocrity not bad , but not all that good bacon keeps things interesting , but do n't go out of your way to pay full price",-
6934,"nohe has made a decent ` intro ' documentary , but he feels like a spectator and not a participant",-
6935,trying to make head or tail of the story in the hip hop indie snipes is enough to give you brain strain and the pay off is negligible,-
6936,there 's plenty of style in guillermo del toro 's sequel to the 1998 hit but why do we need 117 minutes to tell a tale that simply ca n't sustain more than 90 minutes,-
6937,"for most movies , 84 minutes is short , but this one feels like a life sentence",-
6938,"the only question is to determine how well the schmaltz is manufactured to assess the quality of the manipulative engineering average , at best , i 'm afraid",-
6939,what a bewilderingly brilliant and entertaining movie this is,+
6940,by the final whistle you 're convinced that this mean machine was a decent tv outing that just does n't have big screen magic,-
6941,"in between the icy stunts , the actors spout hilarious dialogue about following your dream and ` just letting the mountain tell you what to do '",-
6942,"it 's clotted with heavy handed symbolism , dime store psychology and endless scenic shots that make 105 minutes seem twice as long",-
6943,an excellent romp that boasts both a heart and a mind,+
6944,"cannon 's confidence and laid back good spirits are , with the drumming routines , among the film 's saving graces",+
6945,"how good this film might be , depends if you believe that the shocking conclusion is too much of a plunge or not",+
6946,"philip k dick must be turning in his grave , along with my stomach",-
6947,"at its best , this is grand scale moviemaking for a larger than life figure , an artist who has been awarded mythic status in contemporary culture",+
6948,"that is essentially what 's missing from blackboards the sense of something bigger , some ultimate point",-
6949,"no movement , no yuks , not much of anything",-
6950,"dazzling in its complexity , disturbing for its extraordinary themes , the piano teacher is a film that defies categorisation it haunts , horrifies , startles and fascinates it is impossible to look away ah yes , and then there 's the music",+
6951,holm embodies the character with an effortlessly regal charisma,+
6952,"parts seem like they were lifted from terry gilliam 's subconscious , pressed through kafka 's meat grinder and into bu uel 's casings",+
6953,a frustrating yet deeply watchable melodrama that makes you think it 's a tougher picture than it is,+
6954,"while not quite a comedy , the film tackles its relatively serious subject with an open mind and considerable good cheer , and is never less than engaging",+
6955,the film desperately sinks further and further into comedy futility,-
6956,an awkward and indigestible movie,-
6957,watching it is rather like viewing a long soap opera in which only the first episode was any good,-
6958,"the noble tradition of men in drag hits an all time low in sorority boys , whose makers apparently believe that women 's clothing can cover up any deficiency in acting , writing or direction",-
6959,"bluer than the atlantic and more biologically detailed than an autopsy , the movie is , also , frequently hilarious",+
6960,"it 's a technically superb film , shining with all the usual spielberg flair , expertly utilizing the talents of his top notch creative team",+
6961,it 's so devoid of joy and energy it makes even jason x look positively shakesperean by comparison,-
6962,criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama,-
6963,"manages to transcend the sex , drugs and show tunes plot into something far richer",+
6964,"yes , i have given this movie a rating of zero but fans of the show should not consider this a diss consider it ` perfection '",-
6965,"in the end , punch drunk love is one of those films that i wanted to like much more than i actually did sometimes , that 's enough",+
6966,"although jackson is doubtless reserving the darkest hours for the return of the king , we long for a greater sense of urgency in the here and now of the two towers",+
6967,"you wo n't like roger , but you will quickly recognize him and that 's a big part of why we go to the movies",+
6968,"a clumsily manufactured exploitation flick , a style free exercise in manipulation and mayhem",-
6969,"it 's a visual delight and a decent popcorn adventure , as long as you do n't try to look too deep into the story",+
6970,an intriguing look at the french film industry during the german occupation its most delightful moments come when various characters express their quirky inner selves,+
6971,befuddled in its characterizations as it begins to seem as long as the two year affair which is its subject,-
6972,"hypnotically dull , relentlessly downbeat , laughably predictable wail pitched to the cadence of a depressed fifteen year old 's suicidal poetry",-
6973,only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley 's flopping dolphin gasm,-
6974,gets bogged down by an overly sillified plot and stop and start pacing,-
6975,it sends you away a believer again and quite cheered at just that,+
6976,the ga zillionth airhead movie about a wife in distress who resorts to desperate measures,-
6977,neither funny nor suspenseful nor particularly well drawn,-
6978,"fails to satisfactorily exploit its gender politics , genre thrills or inherent humor",-
6979,gaghan has thrown every suspenseful clich in the book at this nonsensical story,-
6980,"for a film about two mismatched buddies , crystal and de niro share little screen time and even less chemistry",-
6981,"the people in jessica are so recognizable and true that , as in real life , we 're never sure how things will work out",+
6982,"there 's too much forced drama in this wildly uneven movie , about a young man 's battle with his inescapable past and uncertain future in a very shapable but largely unfulfilling present",-
6983,"sorvino makes the princess seem smug and cartoonish , and the film only really comes alive when poor hermocrates and leontine pathetically compare notes about their budding amours",-
6984,this rough trade punch and judy act did n't play well then and it plays worse now,-
6985,"hailed as a clever exercise in neo hitchcockianism , this clever and very satisfying picture is more accurately chabrolian",+
6986,"even the finest chef ca n't make a hotdog into anything more than a hotdog , and robert de niro ca n't make this movie anything more than a trashy cop buddy comedy",-
6987,"like its two predecessors , 1983 's koyaanisqatsi and 1988 's powaqqatsi , the cinematic collage naqoyqatsi could be the most navel gazing film ever",+
6988,"laconic and very stilted in its dialogue , this indie flick never found its audience , probably because it 's extremely hard to relate to any of the characters",-
6989,it has that rare quality of being able to creep the living hell out of you,+
6990,warm and exotic,+
6991,the quiet american begins in saigon in 1952 that 's its first sign of trouble,+
6992,"as a vehicle to savour binoche 's skill , the film is well worthwhile",+
6993,"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one hour tv documentary",-
6994,"while there are times when the film 's reach exceeds its grasp , the production works more often than it does n't",+
6995,"the movie 's ultimate point that everyone should be themselves is trite , but the screenwriter and director michel gondry restate it to the point of ridiculousness",-
6996,psychologically revealing,+
6997,if you can get past the fantastical aspects and harsh realities of the isle you 'll get a sock you in the eye flick that is a visual tour de force and a story that is unlike any you will likely see anywhere else,+
6998,"it comes off as so silly that you would n't be surprised if ba , murdock and rest of the a team were seen giving chase in a black and red van",-
6999,"a beautiful , timeless and universal tale of heated passions jealousy , betrayal , forgiveness and murder",+
7000,its engaging simplicity is driven by appealing leads,+
7001,"far from heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama",+
7002,"priggish , lethargically paced parable of renewal",-
7003,"the film is quiet , threatening and unforgettable",+
7004,"finds a way to tell a simple story , perhaps the simplest story of all , in a way that seems compelling and even original",+
7005,"though writer director bart freundlich 's film ultimately becomes a simplistic story about a dysfunctional parent child relationship , it has some special qualities and the soulful gravity of crudup 's anchoring performance",+
7006,the master of disguise represents adam sandler 's latest attempt to dumb down the universe,-
7007,"only an epic documentary could get it all down , and spike lee 's jim brown all american at long last gives its subject a movie worthy of his talents",+
7008,"a smart , witty follow up",+
7009,this movie does n't deserve the energy it takes to describe how bad it is,-
7010,"there are plenty of scenes in frida that do work , but rarely do they involve the title character herself",-
7011,"a boring , pretentious muddle that uses a sensational , real life 19th century crime as a metaphor for well , i 'm not exactly sure what and has all the dramatic weight of a raindrop",-
7012,"for his first attempt at film noir , spielberg presents a fascinating but flawed look at the near future",+
7013,"while the story 's undeniably hard to follow , iwai 's gorgeous visuals seduce",+
7014,"exactly what its title implies lusty , boisterous and utterly charming",+
7015,"pascale bailly 's rom com provides am lie 's audrey tautou with another fabuleux destin i e , a banal spiritual quest",-
7016,the film proves unrelentingly grim and equally engrossing,+
7017,"a poorly scripted , preachy fable that forgets about unfolding a coherent , believable story in its zeal to spread propaganda",-
7018,"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip non synching , but otherwise the production is suitably elegant",+
7019,stephen earnhart 's film is more about the optimism of a group of people who are struggling to give themselves a better lot in life than the ones they currently have,+
7020,"in the real world , an actor this uncharismatically beautiful would have a r sum loaded with credits like girl in bar 3",-
7021,"in my own very humble opinion , in praise of love lacks even the most fragmented charms i have found in almost all of his previous works",-
7022,woody allen can write and deliver a one liner as well as anybody but i had a lot of problems with this movie,-
7023,too timid to bring a sense of closure to an ugly chapter of the twentieth century,-
7024,frida 's artistic brilliance is undeniable it 's among the most breathtakingly designed films i 've ever seen,+
7025,"alas , the black and white archival footage of their act showcases pretty mediocre shtick",-
7026,"while scorsese 's bold images and generally smart casting ensure that gangs is never lethargic , the movie is hindered by a central plot that 's peppered with false starts and populated by characters who are nearly impossible to care about",+
7027,"the rest of the plot is impossible to explain without blowing whatever tension there is , although it 's more comedy than suspense de palma creates",-
7028,"the movie is like a year late for tapping into our reality tv obsession , and even tardier for exploiting the novelty of the webcast",-
7029,a subtle variation on i spit on your grave in which our purported heroine pathologically avenges a hatred for men,-
7030,"impostor has a handful of thrilling moments and a couple of good performances , but the movie does n't quite fly for starters , the story is just too slim",-
7031,"what remains is a variant of the nincompoop benigni persona , here a more annoying , though less angry version of the irresponsible sandlerian manchild , undercut by the voice of the star of road trip",-
7032,the lack of opposing viewpoints soon grows tiresome the film feels more like a series of toasts at a testimonial dinner than a documentary,-
7033,it 's an awfully derivative story,-
7034,"the movie is amateurish , but it 's a minor treat",+
7035,mctiernan 's remake may be lighter on its feet the sober minded original was as graceful as a tap dancing rhino but it is just as boring and as obvious,-
7036,ian holm conquers france as an earthy napoleon,+
7037,"for all the dolorous trim , secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers ' sporadic dips into pop freudianism",+
7038,how i killed my father is one of those art house films that makes you feel like you 're watching an iceberg melt only it never melts,-
7039,"this is a good movie in spurts , but when it does n't work , it 's at important times",-
7040,the movie should be credited with remembering his victims,+
7041,"it was n't the subject matter that ultimately defeated the filmit was the unfulfilling , incongruous , wait a second , did i miss something ? ending",-
7042,a startling and fresh examination of how the bike still remains an ambiguous icon in chinese society,+
7043,the casting of raymond j barry as the ` assassin ' greatly enhances the quality of neil burger 's impressive fake documentary,+
7044,"parker probably thinks he 's shaking up a classic the way kenneth branagh and baz luhrmann have , but this half hearted messing about just makes us miss wilde 's still contemporary play",-
7045,"slack and uninspired , and peopled mainly by characters so unsympathetic that you 're left with a sour taste in your mouth",-
7046,i ca n't recommend it but it 's surprisingly harmless,-
7047,a thought provoking and often funny drama about isolation,+
7048,"to me , it sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy",-
7049,i ca n't say this enough this movie is about an adult male dressed in pink jammies,-
7050,"a dark as pitch comedy that frequently veers into corny sentimentality , probably would not improve much after a therapeutic zap of shock treatment",-
7051,"the director , steven shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun",+
7052,"smart and fun , but far more witty than it is wise",+
7053,"sweet gentle jesus , did the screenwriters just do a cut and paste of every bad action movie line in history ?",-
7054,not so much farcical as sour,-
7055,the simplicity of the way home has few equals this side of aesop,+
7056,"informative , intriguing , observant , often touching gives a human face to what 's often discussed in purely abstract terms",+
7057,"broomfield 's style of journalism is hardly journalism at all , and even those with an avid interest in the subject will grow impatient",-
7058,"blade ii merges bits and pieces from fighting games , wire fu , horror movies , mystery , james bond , wrestling , sci fi and anime into one big bloody stew",+
7059,a sudsy cautionary tale,-
7060,how do you spell clich ?,-
7061,"sharp , lively , funny and ultimately sobering film",+
7062,"complex , affecting and uniquely almod var , the film evokes strong emotions and pushes viewers to question their deepest notions of moral right and wrong",+
7063,what the four feathers lacks is genuine sweep or feeling or even a character worth caring about,-
7064,"the pianist is a fine valedictory work for polanski , made richer by his own experiences , making his other movies somehow richer in the bargain",+
7065,the one not so small problem with expecting is that the entire exercise has no real point,-
7066,"philosophically , intellectually and logistically a mess",-
7067,d oes n't bother being as cloying or preachy as equivalent evangelical christian movies maybe the filmmakers know that the likely audience will already be among the faithful,+
7068,there 's not enough here to justify the almost two hours,-
7069,"it provides a grim , upsetting glimpse at the lives of some of the 1 2 million palestinians who live in the crowded cities and refugee camps of gaza",+
7070,"an endlessly fascinating , landmark movie that is as bold as anything the cinema has seen in years",+
7071,"suffers from the lack of a compelling or comprehensible narrative still , as a visual treat , the film is almost unsurpassed",+
7072,"not only better than its predecessor , it may rate as the most magical and most fun family fare of this or any recent holiday season",+
7073,"f rom the performances and the cinematography to the outstanding soundtrack and unconventional narrative , the film is blazingly alive and admirable on many levels",+
7074,"superior genre storytelling , which gets under our skin simply by crossing the nuclear line",+
7075,watching beanie and his gang put together his slasher video from spare parts and borrowed materials is as much fun as it must have been for them to make it,+
7076,"the ingenious construction ( adapted by david hare from michael cunningham 's novel ) constantly flows forwards and back , weaving themes among three strands which allow us to view events as if through a prism",+
7077,"lan yu seems altogether too slight to be called any kind of masterpiece it is , however , a completely honest , open hearted film that should appeal to anyone willing to succumb to it",+
7078,"why make a documentary about these marginal historical figures ? would n't one about their famous dad , author of death in venice , etc , be more valuable ?",-
7079,a fifty car pileup of cliches,-
7080,really dumb but occasionally really funny,-
7081,"this is dicaprio 's best performance in anything ever , and easily the most watchable film of the year",+
7082,"shows that jackie chan is getting older , and that 's something i would rather live in denial about",-
7083,"feels like the work of someone who may indeed have finally aged past his prime and , perhaps more than he realizes , just wants to be liked by the people who can still give him work",-
7084,"morrissette has performed a difficult task indeed he 's taken one of the world 's most fascinating stories and made it dull , lifeless , and irritating",-
7085,"the mood , look and tone of the film fit the incredible storyline to a t",+
7086,"a coming of age tale from new zealand whose boozy , languid air is balanced by a rich visual clarity and deeply felt performances across the board",+
7087,vera 's technical prowess ends up selling his film short he smoothes over hard truths even as he uncovers them,-
7088,"there 's an energy to y tu mam tambi n much of it comes from the brave , uninhibited performances by its lead actors",+
7089,"a wonderfully loopy tale of love , longing , and voting",+
7090,just another combination of bad animation and mindless violence lacking the slightest bit of wit or charm,-
7091,god help the poor woman if attal is this insecure in real life his fictional yvan 's neuroses are aggravating enough to exhaust the patience of even the most understanding spouse,-
7092,the picture emerges as a surprisingly anemic disappointment,-
7093,"i 'm afraid you wo n't get through this frankly fantastical by the numbers b flick with just a suspension of disbelief rather , you 'll have to wrestle disbelief to the ground and then apply the chloroform soaked handkerchief",-
7094,"there are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it 's a welcome return to the roots of a genre that should depend on surprises",+
7095,"prurient playthings aside , there 's little to love about this english trifle",-
7096,has all the complexity and realistic human behavior of an episode of general hospital,-
7097,"with not a lot of help from the screenplay ( proficient , but singularly cursory ) , testud acts with the feral intensity of the young bette davis",+
7098,"bursting through the constraints of its source , this is one adapted from television movie that actually looks as if it belongs on the big screen",+
7099,"the sight of the spaceship on the launching pad is duly impressive in imax dimensions , as are shots of the astronauts floating in their cabins",+
7100,"too stagey , talky and long for its own good",-
7101,"the boys ' sparring , like the succession of blows dumped on guei , wears down the story 's more cerebral , and likable , plot elements",-
7102,"aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships",-
7103,"far too clever by half , howard 's film is really a series of strung together moments , with all the spaces in between filled with fantasies , daydreams , memories and one fantastic visual trope after another",-
7104,"as saccharine movies go , this is likely to cause massive cardiac arrest if taken in large doses",-
7105,"poetry in motion captured on film while it can be a bit repetitive , overall it 's an entertaining and informative documentary",+
7106,"human nature talks the talk , but it fails to walk the silly walk that distinguishes the merely quirky from the surreal",-
7107,utter mush conceited pap,-
7108,"glib , satirical documentary that fudges facts , makes facile points and engages in the cinematic equivalent of tabloid journalism",-
7109,"some of the computer animation is handsome , and various amusing sidekicks add much needed levity to the otherwise bleak tale , but overall the film never rises above mediocrity",-
7110,"starts off with a bang , but then fizzles like a wet stick of dynamite at the very end it 's still worth a look",+
7111,"obviously , a lot of people wasted a lot of their time ( including mine ) on something very inconsequential",-
7112,falters when it takes itself too seriously and when it depends too heavily on its otherwise talented cast to clown in situations that are n't funny,-
7113,"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve",-
7114,"if the movie were all comedy , it might work better but it has an ambition to say something about its subjects , but not a willingness",-
7115,"it 's a good film not a classic , but odd , entertaining and authentic",+
7116,a rip roaring comedy action fest that 'll put hairs on your chest,+
7117,there 's so much to look at in metropolis you hate to tear your eyes away from the images long enough to read the subtitles,+
7118,"one big laugh , three or four mild giggles , and a whole lot of not much else",-
7119,the magic of the film lies not in the mysterious spring but in the richness of its performances,+
7120,"entertains by providing good , lively company",+
7121,"this is n't a narrative film i do n't know if it 's possible to make a narrative film about september 11th , though i 'm sure some will try but it 's as close as anyone has dared to come",+
7122,"shiri is an action film that delivers on the promise of excitement , but it also has a strong dramatic and emotional pull that gradually sneaks up on the audience",+
7123,"yet another movie which presumes that high school social groups are at war , let alone conscious of each other 's existence",-
7124,"more concerned with overall feelings , broader ideas , and open ended questions than concrete story and definitive answers , soderbergh 's solaris is a gorgeous and deceptively minimalist cinematic tone poem",+
7125,"if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment",-
7126,"a fine effort , an interesting topic , some intriguing characters and a sad ending certainly the big finish was n't something galinsky and hawley could have planned for but part of being a good documentarian is being there when the rope snaps",+
7127,probably the best case for christianity since chesterton and lewis,+
7128,"a soggy , cliche bound epic horror yarn that ends up being even dumber than its title",-
7129,"there is n't nearly enough fun here , despite the presence of some appealing ingredients",-
7130,if you 're not the target demographic this movie is one long chick flick slog,-
7131,one of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals a psychological masterpiece,+
7132,to be oblivious to the existence of this film would be very sweet indeed,-
7133,"features nonsensical and laughable plotting , wooden performances , ineptly directed action sequences and some of the worst dialogue in recent memory",-
7134,it shows us a slice of life that 's very different from our own and yet instantly recognizable,+
7135,"a slam bang extravaganza that is all about a wild and woolly , wall to wall good time",+
7136,"unofficially , national lampoon 's van wilder is son of animal house officially , it is twice as bestial but half as funny",-
7137,"the best revenge may just be living well because this film , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence",+
7138,everything is off,-
7139,a manically generous christmas vaudeville,+
7140,"busy urban comedy is clearly not zhang 's forte , his directorial touch is neither light nor magical enough to bring off this kind of whimsy",-
7141,the good girl is a film in which the talent is undeniable but the results are underwhelming,-
7142,"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second",-
7143,"it cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life wherever it takes you",+
7144,"for all its technical virtuosity , the film is so mired in juvenile and near xenophobic pedagogy that it 's enough to make one pine for the day when godard can no longer handle the rigors of filmmaking",-
7145,a wretched movie that reduces the second world war to one man 's quest to find an old flame,-
7146,the socio histo political treatise is told in earnest strides and personal illusion is deconstructed with poignancy,+
7147,almost everyone growing up believes their family must look like the addams family to everyone looking in my big fat greek wedding comes from the heart,+
7148,"though few will argue that it ranks with the best of herzog 's works , invincible shows he 's back in form , with an astoundingly rich film",+
7149,"the film 's highlight is definitely its screenplay , both for the rhapsodic dialogue that jumps off the page , and for the memorable character creations",+
7150,a film with a great premise but only a great premise,-
7151,big fat liar is just futile silliness looking to tap into the kiddie sensibilities,-
7152,like a less dizzily gorgeous companion to mr wong 's in the mood for love very much a hong kong movie despite its mainland setting,+
7153,the solid filmmaking and convincing characters makes this a high water mark for this genre,+
7154,"i admire the closing scenes of the film , which seem to ask whether our civilization offers a cure for vincent 's complaint",+
7155,"berry 's saucy , full bodied performance gives this aging series a much needed kick , making die another day one of the most entertaining bonds in years",+
7156,"a light , yet engrossing piece lux , now in her eighties , does a great combination act as narrator , jewish grandmother and subject taking us through a film that is part biography , part entertainment and part history",+
7157,overly melodramatic,-
7158,the rare movie that 's as crisp and to the point as the novel on which it 's based,+
7159,"if anything , the film is doing something of a public service shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans",+
7160,"a preposterous , prurient whodunit",-
7161,secretary is not a movie about fetishism it is a movie about passion,+
7162,"an effectively creepy , fear inducing ( not fear reducing ) film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it",+
7163,"seagal , who looks more like danny aiello these days , mumbles his way through the movie",-
7164,the name says it all jackass is a vulgar and cheap looking version of candid camera staged for the marquis de sade set,-
7165,sen 's soap opera ish approach undermines his good intentions,-
7166,the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this i assume the director has pictures of them cavorting in ladies ' underwear,-
7167,"rarely do films come along that are as intelligent , exuberant , and moving as monsoon wedding",+
7168,a seriously bad film with seriously warped logic by writer director kurt wimmer at the screenplay level,-
7169,more of a career curio than a major work,-
7170,"although it tries to be much more , it 's really just another major league",-
7171,"sorvino is delightful in the central role she nearly glows with enthusiasm , sensuality and a conniving wit",+
7172,"it celebrates the group 's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his ` angels of light '",+
7173,"if you want to see a train wreck that you ca n't look away from , then look no further , because here it is",+
7174,a deep and meaningful film,+
7175,i wish it would have just gone more over the top instead of trying to have it both ways,-
7176,"the members manage to pronounce kok exactly as you think they might , thus giving the cast ample opportunity to use that term as often as possible it 's very beavis and butthead , yet always seems to elicit a chuckle",+
7177,a complex psychological drama about a father who returns to his son 's home after decades away,+
7178,"before it takes a sudden turn and devolves into a bizarre sort of romantic comedy , steven shainberg 's adaptation of mary gaitskill 's harrowing short story is a brilliantly played , deeply unsettling experience",-
7179,"neither a rousing success nor a blinding embarrassment still , it just sits there like a side dish no one ordered",-
7180,"a film that will be best appreciated by those willing to endure its extremely languorous rhythms , waiting for happiness is ultimately thoughtful without having much dramatic impact",-
7181,"both grant and hoult carry the movie because they are believable as people flawed , assured of the wrong things , and scared to admit how much they may really need the company of others",+
7182,despite the surface attractions conrad l hall 's cinematography will likely be nominated for an oscar next year there 's something impressive and yet lacking about everything,-
7183,merchant effectively translates naipaul 's lively mix of characters from the page to screen,+
7184,"the screenplay sabotages the movie 's strengths at almost every juncture all the characters are stereotypes , and their interaction is numbingly predictable",-
7185,"dragonfly has no atmosphere , no tension nothing but costner , flailing away it 's a buggy drag",-
7186,"as animation increasingly emphasizes the computer and the cool , this is a film that takes a stand in favor of tradition and warmth",+
7187,one of the best movies of the year,+
7188,crush could be the worst film a man has made about women since valley of the dolls,-
7189,beware the quirky brit com they can and will turn on a dime from oddly humorous to tediously sentimental,-
7190,what makes the movie a comedy is the way it avoids the more serious emotions involved,+
7191,"pacino and williams seem to keep upping the ante on each other , just as their characters do in the film what results is the best performance from either in years",+
7192,more dutiful than enchanting terribly episodic and lacking the spark of imagination that might have made it an exhilarating treat,-
7193,a movie that will wear you out and make you misty even when you do n't want to be,+
7194,so brisk is wang 's pacing that none of the excellent cast are given air to breathe,-
7195,a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness,-
7196,"when it comes to the battle of hollywood vs woo , it looks like woo 's a p o w",-
7197,"ozpetek offers an aids subtext , skims over the realities of gay sex , and presents yet another tired old vision of the gay community as an all inclusive world where uptight , middle class bores like antonia can feel good about themselves",-
7198,"it 's a nicely detailed world of pawns , bishops and kings , of wagers in dingy backrooms or pristine forests",+
7199,gondry 's direction is adequate but what gives human nature its unique feel is kaufman 's script,+
7200,"men in black ii has sequel itis something fierce an ungainly , comedy deficient , b movie rush job",-
7201,"the one liners are snappy , the situations volatile and the comic opportunities richly rewarded",+
7202,there 's something fishy about a seasonal holiday kids ' movie that derives its moment of most convincing emotional gravity from a scene where santa gives gifts to grownups,-
7203,"combining quick cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video",-
7204,"instead of accurately accounting a terrible true story , the film 's more determined to become the next texas chainsaw massacre but what about the countless other people who 'd merely like to watch a solid tale about a universally interesting soul ?",-
7205,"it 's endlessly inventive , consistently intelligent and sickeningly savage",+
7206,"fails as a dystopian movie , as a retooling of fahrenheit 451 , and even as a rip off of the matrix",-
7207,"dull , if not devoid of wit , this shaggy dog longs to frisk through the back alleys of history , but scarcely manages more than a modest , snoozy charm",-
7208,nice piece of work,+
7209,"there 's something deeply creepy about never again , a new arrow in schaeffer 's quiver of ineptitudes",-
7210,an intoxicating experience,+
7211,only in its final surprising shots does rabbit proof fence find the authority it 's looking for,-
7212,"a stupid , derivative horror film that substitutes extreme gore for suspense",-
7213,"although devoid of objectivity and full of nostalgic comments from the now middle aged participants , dogtown and z boys has a compelling story to tell",+
7214,norton holds the film together,+
7215,compassionately explores the seemingly irreconcilable situation between conservative christian parents and their estranged gay and lesbian children,+
7216,"for movie lovers as well as opera lovers , tosca is a real treat",+
7217,australia land beyond time is an enjoyable big movie primarily because australia is a weirdly beautiful place,+
7218,the latest adam sandler assault and possibly the worst film of the year,-
7219,everything even life on an aircraft carrier is sentimentalized,-
7220,close enough in spirit to its freewheeling trash cinema roots to be a breath of fresh air,+
7221,a subtle and well crafted ( for the most part ) chiller,+
7222,dolgin and franco fashion a fascinating portrait of a vietnamese born youngster who eagerly and easily assimilated as an all american girl with a brand new name in southern tennessee,+
7223,"even though many of these guys are less than adorable ( their lamentations are pretty much self centered ) , there 's something vital about the movie",+
7224,"the problem is that rather than dramatizing this premise , mr desplechin is content to state it",-
7225,"no dia em que aceitou dirigir esta continua o , harold ramis deve ter sa do da cama com o p esquerdo e aqueles que decidiram assistir a este filme tamb m",-
